Category,Keyword,Search Intent,Competition,Target URL,Optimization Status,Content Type,Priority,Clicks,Impressions,Current Position,CTR,Search Volume,Trend,Last Updated
Global Keywords,cci tunisie,Navigational,High,/,Optimized,Homepage,High,9,1866,0,0.48,1366,Dropped Out,2025-10-15
Global Keywords,cci tunis,Navigational,High,/,Optimized,Homepage,High,138,1257,0,10.98,1225,Dropped Out,2025-10-15
Global Keywords,nettoyage professionnel tunisie,Commercial,Medium,/services,Needs Optimization,Service Page,High,0,326,0,0,411,Dropped Out,2025-10-15
Global Keywords,nettoyage moquette tunis,Transactional,Medium,/tapis,Optimized,Service Page,High,176,1037,5,16.97,411,Declining,2025-10-15
Global Keywords,nettoyage salon tunisie,Transactional,Medium,/salon,Optimized,Service Page,High,68,768,0,8.85,427,Dropped Out,2025-10-15
Global Keywords,restauration marbre tunis,Transactional,High,/marbre,Optimized,Service Page,High,0,657,2,0,595,Declining,2025-10-15
Global Keywords,services tapisserie tunisie,Commercial,Low,/tapisserie,Optimized,Service Page,High,36,1277,9,2.82,185,Declining,2025-10-15
Global Keywords,nettoyage post-chantier,Commercial,Low,/tfc,Optimized,Service Page,High,33,1279,0,2.58,150,Dropped Out,2025-10-15
Global Keywords,CCI services,Navigational,High,/,Optimized,Homepage,High,99,1318,1,7.51,660,Stable,2025-10-15
Company Brand,CCI Tunisie,Navigational,High,/,Optimized,Homepage,High,135,313,0,43.13,1324,Dropped Out,2025-10-15
Company Brand,CCI Tunis,Navigational,High,/,Optimized,Homepage,High,72,973,0,7.4,1210,Dropped Out,2025-10-15
Company Brand,CCI Services,Navigational,Medium,/,Optimized,Homepage,High,60,224,1,26.79,497,Stable,2025-10-15
Company Brand,Chaabane's Cleaning Intelligence,Navigational,Low,/about,Needs Optimization,About Page,High,73,304,1,24.01,82,Improving,2025-10-15
Tapis & Moquette,nettoyage tapis tunis,Transactional,High,/tapis,Optimized,Service Page,High,93,1380,0,6.74,712,Dropped Out,2025-10-15
Tapis & Moquette,nettoyage moquettes tunisie,Transactional,High,/tapis,Optimized,Service Page,High,136,1207,4,11.27,661,Declining,2025-10-15
Tapis & Moquette,injection extraction,Informational,Medium,/blog/injection-extraction-guide,Optimized,Blog Post,High,147,546,0,26.92,210,Dropped Out,2025-10-15
Tapis & Moquette,lavage vapeur,Informational,Medium,/blog/nettoyage-vapeur-guide,Optimized,Blog Post,High,105,897,0,11.71,168,Dropped Out,2025-10-15
Tapis & Moquette,nettoyage à sec,Informational,Low,/blog/nettoyage-sec-guide,Optimized,Blog Post,High,27,493,0,5.48,143,Dropped Out,2025-10-15
Tapis & Moquette,shampouinage moquette Tunis,Commercial,Medium,/tapis,Needs Optimization,Service Page,High,58,1296,2,4.48,330,Declining,2025-10-15
Tapis & Moquette,détachage moquette Tunis,Commercial,Low,/blog/detachage-moquette,Optimized,Blog Post,High,114,809,2,14.09,151,Declining,2025-10-15
Tapis & Moquette,entreprise nettoyage moquette Tunis,Commercial,High,/tapis,Optimized,Service Page,High,81,284,4,28.52,664,Improving,2025-10-15
Tapis & Moquette,devis nettoyage moquette Tunis,Transactional,Medium,/devis,Optimized,Landing Page,High,18,522,3,3.45,372,Improving,2025-10-15
Tapis & Moquette,tarif nettoyage tapis Tunis,Commercial,Medium,/blog/prix-nettoyage-tapis,Optimized,Blog Post,High,87,444,4,19.59,567,Declining,2025-10-15
Salon & Canapé,nettoyage salon tunis,Commercial,Medium,/salon,Optimized,Service Page,High,96,1023,0,9.38,445,Dropped Out,2025-10-15
Salon & Canapé,nettoyage canapé,Informational,Medium,/blog/guide-nettoyage-canape,Optimized,Blog Post,High,111,834,0,13.31,326,Dropped Out,2025-10-15
Salon & Canapé,nettoyage voiture intérieur,Commercial,Low,/blog/nettoyage-voiture-interieur,Optimized,Blog Post,High,123,1131,0,10.88,186,Dropped Out,2025-10-15
Salon & Canapé,nettoyage salon domicile tunis,Transactional,Medium,/salon,Needs Optimization,Service Page,High,3,1157,0,0.26,338,Dropped Out,2025-10-15
Salon & Canapé,détachage salon,Informational,Low,/blog/detachage-salon-guide,Optimized,Blog Post,High,0,583,0,0,170,Dropped Out,2025-10-15
Salon & Canapé,shampooing canapé,Informational,Low,/blog/shampooing-canape,Optimized,Blog Post,High,21,1362,0,1.54,135,Dropped Out,2025-10-15
Salon & Canapé,désinfection salon,Informational,Medium,/blog/desinfection-salon,Optimized,Blog Post,High,45,561,0,8.02,253,Dropped Out,2025-10-15
Marbre & Pierre,traitement marbre tunisie,Commercial,High,/marbre,Optimized,Service Page,High,138,323,8,42.72,490,Declining,2025-10-15
Marbre & Pierre,ponçage marbre,Informational,Medium,/blog/poncage-marbre-guide,Optimized,Blog Post,High,70,1387,0,5.05,211,Dropped Out,2025-10-15
Marbre & Pierre,polissage marbre,Informational,Medium,/blog/polissage-marbre-technique,Optimized,Blog Post,Medium,2,150,0,1.33,286,Dropped Out,2025-10-15
Marbre & Pierre,cristallisation marbre,Informational,High,/blog/cristallisation-marbre,Optimized,Blog Post,High,69,755,0,9.14,270,Dropped Out,2025-10-15
