Category,Keyword,Search Intent,Competition,Target URL,Optimization Status,Content Type,Priority,Search Volume,Current Position,Clicks,CTR,Last Updated
Global Keywords,cci tunisie,Navigational,High,/,Well Optimized,Homepage,High,1366,0,9,0.30,2025-10-15
Global Keywords,cci tunis,Navigational,High,/,Well Optimized,Homepage,High,1225,0,138,0.30,2025-10-15
Global Keywords,nettoyage professionnel tunisie,Commercial,Medium,/services,Well Optimized,Service Page,High,411,0,0,0.30,2025-10-15
Global Keywords,nettoyage moquette tunis,Transactional,Medium,/tapis,Needs Optimization,Service Page,High,411,5,176,15.00,2025-10-15
Global Keywords,nettoyage salon tunisie,Transactional,Medium,/salon,Well Optimized,Service Page,High,427,0,68,0.30,2025-10-15
Marbre & Pierre,restauration marbre tunis,Commercial,High,/marbre,Needs Optimization,Service Page,High,465,4,75,4.74,2025-10-15
Global Keywords,services tapisserie tunisie,Commercial,Low,/tapisserie,Needs Optimization,Service Page,High,185,9,36,0.30,2025-10-15
Global Keywords,nettoyage post-chantier,Commercial,Low,/tfc,Well Optimized,Service Page,High,150,0,33,0.30,2025-10-15
Global Keywords,CCI services,Navigational,High,/,Optimized,Homepage,High,660,1,99,35.00,2025-10-15
Company Brand,CCI Tunisie,Navigational,High,/,Well Optimized,Homepage,High,1324,0,135,0.30,2025-10-15
Company Brand,CCI Tunis,Navigational,High,/,Well Optimized,Homepage,High,1210,0,72,0.30,2025-10-15
Company Brand,CCI Services,Navigational,Medium,/,Optimized,Homepage,High,497,1,60,35.00,2025-10-15
Company Brand,Chaabane's Cleaning Intelligence,Navigational,Low,/about,Optimized,About Page,High,82,1,73,35.00,2025-10-15
Tapis & Moquette,nettoyage tapis tunis,Transactional,High,/tapis,Well Optimized,Service Page,High,712,0,93,0.30,2025-10-15
Tapis & Moquette,nettoyage moquettes tunisie,Transactional,High,/tapis,Needs Optimization,Service Page,High,661,4,136,15.00,2025-10-15
Tapis & Moquette,injection extraction,Informational,Medium,/blog/injection-extraction-guide,Well Optimized,Blog Post,High,210,0,147,26.92,2025-10-15
Technical Methods,lavage vapeur,Informational,Medium,/blog/lavage-vapeur-technique,Well Optimized,Blog Post,Medium,132,0,18,6.02,2025-10-15
Technical Methods,nettoyage à sec,Informational,Medium,/blog/nettoyage-sec-technique,Well Optimized,Blog Post,High,289,0,34,12.98,2025-10-15
Tapis & Moquette,shampouinage moquette Tunis,Commercial,Medium,/tapis,Well Optimized,Service Page,High,330,2,58,4.48,2025-10-15
Tapis & Moquette,détachage moquette Tunis,Commercial,Low,/blog/detachage-moquette,Well Optimized,Blog Post,High,151,2,114,14.09,2025-10-15
Tapis & Moquette,entreprise nettoyage moquette Tunis,Commercial,High,/tapis,Needs Optimization,Service Page,High,664,6,81,28.52,2025-10-15
Tapis & Moquette,devis nettoyage moquette Tunis,Transactional,Medium,/devis,Well Optimized,Landing Page,High,372,3,18,3.45,2025-10-15
Tapis & Moquette,tarif nettoyage tapis Tunis,Commercial,Medium,/blog/prix-nettoyage-tapis,Needs Optimization,Blog Post,High,567,7,87,19.59,2025-10-15
Salon & Canapé,nettoyage salon tunis,Commercial,Medium,/salon,Needs Optimization,Service Page,High,445,9,96,9.38,2025-10-15
Salon & Canapé,nettoyage canapé,Informational,Medium,/blog/guide-nettoyage-canape,Well Optimized,Blog Post,High,326,0,111,13.31,2025-10-15
Salon & Canapé,nettoyage voiture intérieur,Commercial,Low,/blog/nettoyage-voiture-interieur,Well Optimized,Blog Post,High,186,0,123,10.88,2025-10-15
Salon & Canapé,nettoyage salon domicile tunis,Transactional,Medium,/salon,Well Optimized,Service Page,High,338,0,3,0.26,2025-10-15
