Opportunity Score,Priority Flag,Keyword,Current Position,Search Volume,CTR,Clicks,Impressions,Trend,Optimization Status,Target URL,Category,Low Hanging Fruit,High CTR Opportunity,Not Ranking But Has Volume
152229,🚀 URGENT,CCI services,1,660,35.00,99,1318,Stable,Optimized,/,Global Keywords,false,false,false
23935,🚀 URGENT,nettoyage moquettes tunisie,4,661,15.00,136,1207,Declining,Needs Optimization,/tapis,Tapis & Moquette,false,false,false
19482,🚀 URGENT,CCI Services,1,497,35.00,60,224,Stable,Optimized,/,Company Brand,false,false,false
17423,🚀 URGENT,restauration marbre tunis,1,465,4.74,75,1581,Improving,Optimized,/marbre,Marbre & Pierre,false,false,false
10655,🚀 URGENT,nettoyage moquette tunis,5,411,15.00,176,1037,Declining,Needs Optimization,/tapis,Global Keywords,true,false,false
9580,✅ MOMENTUM,CCI services premium,1,304,10.54,63,598,Improving,Optimized,/services,Geographic Areas,false,false,false
8134,📋 MONITOR,simulateur devis nettoyage tunisie,1,325,4.26,50,1175,Stable,Optimized,/devis,Pricing & Services,false,false,false
7683,🎯 LOW-HANGING,entreprise nettoyage moquette Tunis,6,664,28.52,81,284,Improving,Needs Optimization,/tapis,Tapis & Moquette,true,false,false
6969,🔧 NEEDS-WORK,restauration marbre tunis,4,465,4.74,75,1581,Declining,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
6387,⚠️ DECLINING,shampouinage moquette Tunis,2,330,4.48,58,1296,Declining,Well Optimized,/tapis,Tapis & Moquette,false,false,false
6165,🎯 LOW-HANGING,tarif nettoyage tapis Tunis,7,567,19.59,87,444,Declining,Needs Optimization,/blog/prix-nettoyage-tapis,Tapis & Moquette,true,false,false
5737,⚠️ DECLINING,détachage moquette Tunis,2,151,14.09,114,809,Declining,Well Optimized,/blog/detachage-moquette,Tapis & Moquette,false,false,false
5185,✅ MOMENTUM,nettoyage tapisserie tunis,1,370,2.70,28,1038,Improving,Optimized,/tapis,Tapis,false,false,false
4362,📋 MONITOR,Chaabane's Cleaning Intelligence,1,82,35.00,73,304,Stable,Optimized,/about,Company Brand,false,false,false
4270,🎯 LOW-HANGING,nettoyage salon tunis,9,445,9.38,96,1023,Declining,Needs Optimization,/salon,Salon & Canapé,true,false,false
4224,🔧 NEEDS-WORK,entretien tapis tunis,4,364,6.81,58,852,Declining,Needs Optimization,/tapis,Tapis,false,false,false
2039,⚠️ DECLINING,détachage tapisserie tunis,3,240,5.59,34,608,Declining,Well Optimized,/tapis,Tapis,false,false,false
2005,✅ MOMENTUM,CCI services ariana,3,259,3.44,31,900,Improving,Well Optimized,/services,Geographic Areas,false,false,false
1675,✅ MOMENTUM,devis nettoyage moquette Tunis,3,372,3.45,18,522,Improving,Well Optimized,/devis,Tapis & Moquette,false,false,false
1673,✅ MOMENTUM,détachage tapis tunis,3,372,4.71,18,382,Improving,Well Optimized,/tapis,Tapis,false,false,false
1517,✅ MOMENTUM,entretien tapisserie tunis,1,202,3.36,15,447,Improving,Optimized,/tapis,Tapis,false,false,false
264,📋 MONITOR,lavage vapeur,8,132,6.02,18,299,Stable,Not Optimized,/blog/lavage-vapeur-technique,Technical Methods,true,false,false
